pbs_code,prescribing_txt_id,pt_position,schedule_code
"10226F","7608","3","3834"
"10231L","12820","1","3834"
"10234P","12819","1","3834"
"10238W","32663","1","3834"
"10238W","7606","2","3834"
"10238W","7607","3","3834"
"10241B","12819","1","3834"
"10245F","12820","1","3834"
"10254Q","12230","1","3834"
"10257W","12230","1","3834"
"10267J","7606","1","3834"
"10267J","7607","2","3834"
"10281D","28500","1","3834"
"10281D","7607","2","3834"
"10282E","28500","1","3834"
"10282E","7607","2","3834"
"10288L","28980","1","3834"
"10289M","28980","1","3834"
"10295W","23717","1","3834"
"10295W","23729","2","3834"
"10295W","23730","3","3834"
"10295W","9552","4","3834"
"10295W","7606","5","3834"
"10295W","7607","6","3834"
"10302F","28980","1","3834"
"10308M","7606","1","3834"
"10308M","7607","2","3834"
"10321F","23751","1","3834"
"10322G","7608","1","3834"
"10323H","7608","1","3834"
"10329P","28846","1","3834"
"10330Q","9785","1","3834"
"10330Q","23717","2","3834"
"10330Q","23718","3","3834"
"10330Q","7606","4","3834"
"10330Q","7607","5","3834"
"10331R","23717","1","3834"
"10331R","23718","2","3834"
"10331R","9785","3","3834"
"10333W","7606","1","3834"
"10333W","7607","2","3834"
"10334X","7606","1","3834"
"10334X","7607","2","3834"
"10341G","28980","1","3834"
"10343J","9552","1","3834"
"10343J","23717","2","3834"
"10343J","23729","3","3834"
"10343J","23730","4","3834"
"10343J","7606","5","3834"
"10347N","32715","1","3834"
"10356C","25796","1","3834"
"10358E","28980","1","3834"
"10367P","21334","1","3834"
"10373Y","12375","1","3834"
"10373Y","29786","2","3834"
"10373Y","28500","3","3834"
"10373Y","26357","4","3834"
"10373Y","7607","5","3834"
"10373Y","7608","6","3834"
"10374B","12375","1","3834"
"10374B","29786","2","3834"
"10374B","28500","3","3834"
"10374B","26357","4","3834"
"10374B","7607","5","3834"
"10374B","7608","6","3834"
"10378F","25796","1","3834"
"10382K","7606","1","3834"
"10382K","7607","2","3834"
"10382K","7608","3","3834"
"10383L","7607","1","3834"
"10383L","24626","2","3834"
"10383L","28501","3","3834"
"10384M","29247","1","3834"
"10384M","7608","2","3834"
"10386P","16840","1","3834"
"10386P","30079","2","3834"
"10387Q","16840","1","3834"
"10387Q","30079","2","3834"
"10390W","31329","1","3834"
"10390W","7608","2","3834"
"10391X","7607","1","3834"
"10391X","24626","2","3834"
"10391X","28496","3","3834"
"10398G","29247","1","3834"
"10398G","7608","2","3834"
"10399H","27279","1","3834"
"10399H","27049","2","3834"
"10399H","28500","3","3834"
"10400J","27279","1","3834"
"10400J","27048","2","3834"
"10400J","28500","3","3834"
"10401K","7607","1","3834"
"10401K","24626","2","3834"
"10401K","28501","3","3834"
"10402L","7607","1","3834"
"10402L","24626","2","3834"
"10402L","28496","3","3834"
"10403M","7606","1","3834"
"10403M","7607","2","3834"
"10403M","7608","3","3834"
"10406Q","16840","1","3834"
"10406Q","30079","2","3834"
"10407R","30935","1","3834"
"10407R","26589","2","3834"
"10407R","11532","3","3834"
"10407R","7606","4","3834"
"10407R","7607","5","3834"
"10412B","27279","1","3834"
"10412B","27049","2","3834"
"10412B","33720","3","3834"
"10412B","7607","4","3834"
"10413C","27279","1","3834"
"10413C","33164","2","3834"
"10413C","29791","3","3834"
"10413C","34034","4","3834"
"10413C","27048","5","3834"
"10413C","33720","6","3834"
"10413C","7607","7","3834"
"10414D","7606","1","3834"
"10414D","7607","2","3834"
"10415E","31329","1","3834"
"10415E","7608","2","3834"
"10416F","29338","1","3834"
"10416F","7606","2","3834"
"10416F","7607","3","3834"
"10417G","16840","1","3834"
"10417G","30079","2","3834"
"10418H","30935","1","3834"
"10418H","26589","2","3834"
"10418H","11532","3","3834"
"10418H","7606","4","3834"
"10418H","7607","5","3834"
"10419J","27279","1","3834"
"10419J","33164","2","3834"
"10419J","29791","3","3834"
"10419J","34034","4","3834"
"10419J","27049","5","3834"
"10419J","33720","6","3834"
"10419J","7607","7","3834"
"10420K","27279","1","3834"
"10420K","27048","2","3834"
"10420K","33720","3","3834"
"10420K","7607","4","3834"
"10424P","7607","1","3834"
"10424P","7608","2","3834"
"10424P","25071","3","3834"
"10425Q","31110","1","3834"
"10425Q","7606","2","3834"
"10425Q","7607","3","3834"
"10425Q","7608","4","3834"
"10426R","28584","1","3834"
"10427T","28584","1","3834"
"10428W","28584","1","3834"
"10430Y","28584","1","3834"
"10431B","28584","1","3834"
"10432C","28584","1","3834"
"10434E","28584","1","3834"
"10435F","28584","1","3834"
"10436G","7607","1","3834"
"10436G","7608","2","3834"
"10436G","25071","3","3834"
"10441M","28584","1","3834"
"10442N","28584","1","3834"
"10443P","28584","1","3834"
"10446T","28584","1","3834"
"10449Y","28584","1","3834"
"10451C","28584","1","3834"
"10453E","28584","1","3834"
"10454F","28584","1","3834"
"10456H","28584","1","3834"
"10457J","28584","1","3834"
"10458K","28584","1","3834"
"10459L","7606","1","3834"
"10459L","7607","2","3834"
"10460M","11595","1","3834"
"10462P","28584","1","3834"
"10463Q","28584","1","3834"
"10465T","7607","1","3834"
"10467X","28584","1","3834"
"10472E","28584","1","3834"
"10474G","33040","1","3834"
"10474G","13099","2","3834"
"10474G","25796","3","3834"
"10474G","7606","4","3834"
"10474G","7607","5","3834"
"10474G","7608","6","3834"
"10475H","25071","1","3834"
"10475H","7607","2","3834"
"10475H","7608","3","3834"
"10477K","28584","1","3834"
"10479M","28584","1","3834"
"10480N","28584","1","3834"
"10481P","28584","1","3834"
"10483R","28584","1","3834"
"10484T","28584","1","3834"
"10485W","28584","1","3834"
"10486X","33040","1","3834"
"10486X","13099","2","3834"
"10486X","25796","3","3834"
"10486X","7606","4","3834"
"10486X","7607","5","3834"
"10486X","7608","6","3834"
"10488B","28584","1","3834"
"10489C","28584","1","3834"
"10490D","28584","1","3834"
"10492F","33040","1","3834"
"10492F","13099","2","3834"
"10492F","25796","3","3834"
"10492F","7606","4","3834"
"10492F","7607","5","3834"
"10492F","7608","6","3834"
"10493G","25071","1","3834"
"10493G","7607","2","3834"
"10493G","7608","3","3834"
"10494H","31110","1","3834"
"10494H","7606","2","3834"
"10494H","7607","3","3834"
"10494H","7608","4","3834"
"10495J","28584","1","3834"
"10496K","28584","1","3834"
"10497L","28584","1","3834"
"10498M","28584","1","3834"
"10500P","28584","1","3834"
"10501Q","28584","1","3834"
"10504W","7606","1","3834"
"10504W","7607","2","3834"
"10505X","26425","1","3834"
"10505X","29786","2","3834"
"10505X","28500","3","3834"
"10505X","26357","4","3834"
"10505X","7607","5","3834"
"10505X","7608","6","3834"
"10506Y","28584","1","3834"
"10507B","28584","1","3834"
"10510E","32002","1","3834"
"10511F","31231","1","3834"
"10511F","7606","2","3834"
"10511F","7607","3","3834"
"10511F","7608","4","3834"
"10512G","28584","1","3834"
"10514J","28584","1","3834"
"10515K","32002","1","3834"
"10516L","32002","1","3834"
"10517M","31231","1","3834"
"10517M","7606","2","3834"
"10517M","7607","3","3834"
"10517M","7608","4","3834"
"10518N","28584","1","3834"
"10519P","28584","1","3834"
"10520Q","28585","1","3834"
"10530F","28585","1","3834"
"10540R","7607","1","3834"
"10540R","7608","2","3834"
"10541T","25796","1","3834"
"10551H","9950","1","3834"
"10551H","17975","2","3834"
"10551H","7606","3","3834"
"10551H","7607","4","3834"
"10572K","7607","1","3834"
"10572K","7608","2","3834"
"10573L","16639","1","3834"
"10577Q","7708","1","3834"
"10577Q","7709","2","3834"
"10581X","7607","1","3834"
"10581X","24626","2","3834"
"10581X","23973","3","3834"
"10587F","7708","1","3834"
"10587F","7709","2","3834"
"10588G","7607","1","3834"
"10588G","24661","2","3834"
"10588G","23973","3","3834"
"10589H","7607","1","3834"
"10589H","24626","2","3834"
"10589H","23973","3","3834"
"10597R","7607","1","3834"
"10597R","24661","2","3834"
"10597R","23973","3","3834"
"10600X","8211","1","3834"
"10600X","7607","2","3834"
"10601Y","8211","1","3834"
"10601Y","7607","2","3834"
"10602B","8211","1","3834"
"10602B","8757","2","3834"
"10602B","8758","3","3834"
"10602B","8759","4","3834"
"10603C","8211","1","3834"
"10603C","7607","2","3834"
"10604D","8211","1","3834"
"10604D","7607","2","3834"
"10606F","8211","1","3834"
"10606F","7607","2","3834"
"10607G","8211","1","3834"
"10607G","8757","2","3834"
"10607G","8758","3","3834"
"10607G","8759","4","3834"
"10608H","8211","1","3834"
"10608H","8757","2","3834"
"10608H","8758","3","3834"
"10608H","8759","4","3834"
"10610K","8211","1","3834"
"10610K","8757","2","3834"
"10610K","8758","3","3834"
"10610K","8759","4","3834"
"10611L","8211","1","3834"
"10611L","8757","2","3834"
"10611L","8758","3","3834"
"10611L","8759","4","3834"
"10612M","8211","1","3834"
"10612M","7607","2","3834"
"10613N","8211","1","3834"
"10613N","8757","2","3834"
"10613N","8758","3","3834"
"10613N","8759","4","3834"
"10614P","17936","1","3834"
"10614P","33364","2","3834"
"10614P","25796","3","3834"
"10614P","7608","4","3834"
"10615Q","17936","1","3834"
"10615Q","17939","2","3834"
"10615Q","7608","3","3834"
"10616R","17936","1","3834"
"10616R","7608","2","3834"
"10617T","17936","1","3834"
"10617T","17939","2","3834"
"10617T","7608","3","3834"
"10618W","17936","1","3834"
"10618W","33364","2","3834"
"10618W","25796","3","3834"
"10618W","17939","4","3834"
"10618W","7608","5","3834"
"10619X","17936","1","3834"
"10619X","33364","2","3834"
"10619X","25796","3","3834"
"10619X","17939","4","3834"
"10619X","7608","5","3834"
"10620Y","16869","1","3834"
"10626G","32002","1","3834"
"10627H","32002","1","3834"
"10633P","32002","1","3834"
"10677Y","32002","1","3834"
"10682F","14726","1","3834"
"10682F","7607","2","3834"
"10684H","8211","1","3834"
"10684H","8757","2","3834"
"10684H","8758","3","3834"
"10684H","8759","4","3834"
"10694W","9950","1","3834"
"10694W","10728","2","3834"
"10694W","7606","3","3834"
"10694W","7607","4","3834"
"10697B","8211","1","3834"
"10697B","7607","2","3834"
"10698C","8211","1","3834"
"10698C","8757","2","3834"
